2005.000000,2010.000000,89.000000,1629.000000,8.810000,2101.000000,7842.810000,1307.135000
2006.000000,2376.000000,301.000000,1955.000000,16.760000,2737.000000,9391.760000,1565.293333
2007.000000,3069.000000,449.000000,2675.000000,25.680000,4083.000000,12308.680000,2051.446667
2008.000000,4098.000000,798.000000,3748.000000,14.770000,4985.000000,15651.770000,2608.628333
2009.000000,3425.000000,-30.000000,3351.000000,10.970000,3772.000000,12537.970000,2089.661667
2010.000000,3326.000000,-68.000000,3586.000000,12.560000,5706.000000,14572.560000,2428.760000
2011.000000,3543.000000,253.000000,4495.000000,15.630000,6029.000000,16346.630000,2724.438333
2012.000000,3998.000000,581.000000,5553.000000,12.520000,5042.000000,17198.520000,2866.420000
2013.000000,4280.000000,563.000000,6412.000000,13.380000,7974.000000,21255.380000,3542.563333
2014.000000,4130.000000,440.000000,7251.000000,17.830000,6384.000000,20236.830000,3372.805000
2015.000000,4682.000000,631.000000,7201.000000,23.710000,6384.000000,20936.710000,3489.451667
2016.000000,5010.000000,614.000000,7370.000000,53.760000,9227.000000,24290.760000,4048.460000
2017.000000,6910.000000,1666.000000,9841.000000,149.790000,10299.000000,30882.790000,5147.131667
2018.000000,9714.000000,3047.000000,11241.000000,232.380000,11528.000000,37780.380000,6296.730000
2019.000000,11716.000000,4141.000000,13292.000000,174.590000,13277.000000,44619.590000,7436.598333
2020.000000,10918.000000,2796.000000,17315.000000,395.630000,13775.000000,47219.630000,7869.938333
